date_Hr,value_Hr,startDate_energy,endDate_energy,totalTime_energy,value_energy,id_
2020-03-30 18:57:47,75.0,2020-03-30 19:08:29,2020-03-30 19:09:31,62.0,0.4970000000000001,131
2020-03-30 18:57:47,75.0,2020-03-30 19:09:31,2020-03-30 19:10:33,62.0,1.431,132
2020-03-30 18:57:47,75.0,2020-03-30 19:10:33,2020-03-30 19:11:35,62.0,0.5660000000000001,133
2020-03-30 18:57:47,75.0,2020-03-30 19:13:18,2020-03-30 19:14:20,62.0,0.48700000000000004,134
2020-03-30 18:57:47,75.0,2020-03-30 19:15:21,2020-03-30 19:16:23,62.0,0.371,135
2020-03-30 18:57:47,75.0,2020-03-30 19:16:23,2020-03-30 19:17:25,62.0,0.6629999999999999,136
2020-03-30 19:19:18,64.0,2020-03-30 19:18:16,2020-03-30 19:19:18,62.0,0.8029999999999999,137
2020-03-30 19:19:18,64.0,2020-03-30 19:19:18,2020-03-30 19:20:20,62.0,0.539,138
2020-03-30 19:19:18,64.0,2020-03-30 19:20:20,2020-03-30 19:21:22,62.0,0.547,139
2020-03-30 19:19:18,64.0,2020-03-30 19:21:22,2020-03-30 19:22:24,62.0,2.367,140
2020-03-30 19:19:18,64.0,2020-03-30 19:23:25,2020-03-30 19:24:27,62.0,2.0269999999999997,141
2020-03-30 19:19:18,64.0,2020-03-30 19:24:27,2020-03-30 19:25:29,62.0,0.639,142
2020-03-30 19:19:18,64.0,2020-03-30 19:25:29,2020-03-30 19:26:31,62.0,0.71,143
2020-03-30 19:19:18,64.0,2020-03-30 19:28:55,2020-03-30 19:29:57,62.0,0.36200000000000004,144
2020-03-30 19:32:02,53.0,2020-03-30 19:32:31,2020-03-30 19:33:33,62.0,0.332,145
2020-03-30 19:32:02,53.0,2020-03-30 19:35:06,2020-03-30 19:36:08,62.0,0.28800000000000003,146
2020-03-30 19:40:17,48.0,2020-03-30 19:43:20,2020-03-30 19:44:22,62.0,0.138,147
2020-04-07 11:03:10,81.0,2020-04-07 11:04:35,2020-04-07 11:05:37,62.0,0.261,148
2020-04-07 11:03:10,81.0,2020-04-07 11:06:08,2020-04-07 11:07:10,62.0,0.228,149
2020-04-07 11:03:10,81.0,2020-04-07 11:09:03,2020-04-07 11:10:05,62.0,0.317,150
2020-04-07 11:10:31,53.0,2020-04-07 11:11:28,2020-04-07 11:12:30,62.0,0.33299999999999996,151
2020-04-07 11:13:13,53.0,2020-04-07 11:13:21,2020-04-07 11:14:23,62.0,0.27,152
2020-04-07 11:13:13,53.0,2020-04-07 11:14:23,2020-04-07 11:15:25,62.0,0.285,153
2020-04-07 11:13:13,53.0,2020-04-07 11:17:08,2020-04-07 11:18:10,62.0,0.34299999999999997,154
2020-04-07 11:18:20,52.0,2020-04-07 11:19:32,2020-04-07 11:20:34,62.0,1.395,155
2020-04-07 11:24:44,54.0,2020-04-07 11:24:52,2020-04-07 11:25:54,62.0,0.38,156
2020-04-07 11:50:06,51.0,2020-04-07 11:49:58,2020-04-07 11:51:00,62.0,0.25,157
2020-04-07 11:50:06,51.0,2020-04-07 11:51:00,2020-04-07 11:52:02,62.0,0.29,158
2020-04-07 11:52:15,53.0,2020-04-07 11:52:22,2020-04-07 11:53:24,62.0,0.47600000000000003,159
2020-04-07 11:52:15,53.0,2020-04-07 11:53:24,2020-04-07 11:54:26,62.0,0.29100000000000004,160
2020-04-07 12:00:36,49.0,2020-04-07 12:01:29,2020-04-07 12:02:31,62.0,0.256,161
2020-04-07 12:00:36,49.0,2020-04-07 12:02:51,2020-04-07 12:03:53,62.0,0.27,162
2020-04-07 12:00:36,49.0,2020-04-07 12:04:24,2020-04-07 12:05:26,62.0,0.306,163
2020-04-07 12:05:40,56.0,2020-04-07 12:05:26,2020-04-07 12:06:28,62.0,0.165,164
2020-04-07 12:07:23,53.0,2020-04-07 12:07:50,2020-04-07 12:08:52,62.0,0.36200000000000004,165
2020-04-07 12:07:23,53.0,2020-04-07 12:09:44,2020-04-07 12:10:46,62.0,0.428,166
2020-04-07 12:11:48,57.0,2020-04-07 12:10:46,2020-04-07 12:11:48,62.0,0.491,167
2020-04-07 12:11:48,57.0,2020-04-07 12:12:29,2020-04-07 12:13:31,62.0,0.316,168
2020-04-07 12:11:48,57.0,2020-04-07 12:14:32,2020-04-07 12:15:34,62.0,0.233,169
2020-04-07 12:16:45,60.0,2020-04-07 12:16:26,2020-04-07 12:17:28,62.0,0.489,170
2020-04-07 12:16:45,60.0,2020-04-07 12:17:38,2020-04-07 12:18:40,62.0,0.36200000000000004,171
2020-04-07 12:16:45,60.0,2020-04-07 12:18:40,2020-04-07 12:19:42,62.0,0.293,172
